series,date,state,sector,value
abs,2015-01-01,Johor,p0,110002.221
abs,2015-01-01,Johor,p1,15610.314
abs,2015-01-01,Johor,p2,475.64
abs,2015-01-01,Johor,p3,32358.659
abs,2015-01-01,Johor,p4,7269.16
abs,2015-01-01,Johor,p5,53058.447
abs,2015-01-01,Johor,p6,1230.001
abs,2015-01-01,Kedah,p0,39549.581
abs,2015-01-01,Kedah,p1,5423.368
abs,2015-01-01,Kedah,p2,83.056
abs,2015-01-01,Kedah,p3,11427.051
abs,2015-01-01,Kedah,p4,862.638
abs,2015-01-01,Kedah,p5,21465.109
abs,2015-01-01,Kedah,p6,288.359
abs,2015-01-01,Kelantan,p0,21407.736
abs,2015-01-01,Kelantan,p1,5101.864
abs,2015-01-01,Kelantan,p2,229.021
abs,2015-01-01,Kelantan,p3,1147.468
abs,2015-01-01,Kelantan,p4,444.65
abs,2015-01-01,Kelantan,p5,14454.747
abs,2015-01-01,Kelantan,p6,29.985
abs,2015-01-01,Melaka,p0,36077.257
abs,2015-01-01,Melaka,p1,4141.42
abs,2015-01-01,Melaka,p2,43.988
abs,2015-01-01,Melaka,p3,14068.303
abs,2015-01-01,Melaka,p4,947.012
abs,2015-01-01,Melaka,p5,16810.973
abs,2015-01-01,Melaka,p6,65.56
abs,2015-01-01,Negeri Sembilan,p0,40185.677
abs,2015-01-01,Negeri Sembilan,p1,3235.335
abs,2015-01-01,Negeri Sembilan,p2,165.377
abs,2015-01-01,Negeri Sembilan,p3,15678.075
abs,2015-01-01,Negeri Sembilan,p4,1339.339
abs,2015-01-01,Negeri Sembilan,p5,18950.586
abs,2015-01-01,Negeri Sembilan,p6,816.964
abs,2015-01-01,Pahang,p0,49449.712
abs,2015-01-01,Pahang,p1,11665.23
abs,2015-01-01,Pahang,p2,1311.294
abs,2015-01-01,Pahang,p3,10416.952
abs,2015-01-01,Pahang,p4,2105.062
abs,2015-01-01,Pahang,p5,23884.728
abs,2015-01-01,Pahang,p6,66.445
abs,2015-01-01,Perak,p0,63175.555
abs,2015-01-01,Perak,p1,10351.594
abs,2015-01-01,Perak,p2,354.095
abs,2015-01-01,Perak,p3,11190.469
abs,2015-01-01,Perak,p4,2578.368
abs,2015-01-01,Perak,p5,38627.926
abs,2015-01-01,Perak,p6,73.103
abs,2015-01-01,Perlis,p0,5352.875
abs,2015-01-01,Perlis,p1,1161.077
abs,2015-01-01,Perlis,p2,31.698
abs,2015-01-01,Perlis,p3,458.197
abs,2015-01-01,Perlis,p4,193.228
abs,2015-01-01,Perlis,p5,3414.264
abs,2015-01-01,Perlis,p6,94.412
abs,2015-01-01,Pulau Pinang,p0,78146.215
abs,2015-01-01,Pulau Pinang,p1,2083.789
abs,2015-01-01,Pulau Pinang,p2,124.145
abs,2015-01-01,Pulau Pinang,p3,33596.784
abs,2015-01-01,Pulau Pinang,p4,2711.965
abs,2015-01-01,Pulau Pinang,p5,38917.261
abs,2015-01-01,Pulau Pinang,p6,712.27
abs,2015-01-01,Sabah,p0,73776.128
abs,2015-01-01,Sabah,p1,14816.807
abs,2015-01-01,Sabah,p2,18207.153
abs,2015-01-01,Sabah,p3,6265.78
abs,2015-01-01,Sabah,p4,2446.413
abs,2015-01-01,Sabah,p5,31754.571
abs,2015-01-01,Sabah,p6,285.404
